央视频道,#genre#
CCTV1,http://192.168.28.1:23234/rtp/225.1.8.1:8008
CCTV2,http://192.168.28.1:23234/rtp/225.1.8.2:8084
CCTV3,http://192.168.28.1:23234/rtp/225.1.8.88:8000
CCTV4,http://192.168.28.1:23234/rtp/225.1.8.4:8092
CCTV5,http://192.168.28.1:23234/rtp/225.1.8.89:8000
CCTV6,http://192.168.28.1:23234/rtp/225.1.8.84:8000
CCTV7,http://192.168.28.1:23234/rtp/225.1.8.7:8104
CCTV8,http://192.168.28.1:23234/rtp/225.1.8.85:8000
CCTV9,http://192.168.28.1:23234/rtp/225.1.8.9:8112
CCTV10,http://192.168.28.1:23234/rtp/225.1.8.10:8116
CCTV11,http://192.168.28.1:23234/rtp/225.1.8.73:8120
CCTV12,http://192.168.28.1:23234/rtp/225.1.8.12:8124
CCTV13,http://192.168.28.1:23234/rtp/225.1.8.168:8130
CCTV14,http://192.168.28.1:23234/rtp/225.1.8.14:8132
CCTV15,http://192.168.28.1:23234/rtp/225.1.8.74:8136
CCTV16,http://192.168.28.1:23234/rtp/225.1.8.189:8002
CCTV17,http://192.168.28.1:23234/rtp/225.1.8.17:8144
CCTV5+,http://192.168.28.1:23234/rtp/225.1.8.20:8004
CCTV4K,http://192.168.28.1:23234/rtp/225.1.8.224:2000
CCTV4欧洲,http://192.168.28.1:23234/rtp/225.1.8.174:4222
CCTV4美洲,http://192.168.28.1:23234/rtp/225.1.8.175:4222
CGTN,http://192.168.28.1:23234/rtp/225.1.8.176:4222
CGTN纪录,http://192.168.28.1:23234/rtp/225.1.8.177:4222
CGTN西语,http://192.168.28.1:23234/rtp/225.1.8.178:4222
CGTN法语,http://192.168.28.1:23234/rtp/225.1.8.179:4222
CGTN阿语,http://192.168.28.1:23234/rtp/225.1.8.180:4222
CGTN俄语,http://192.168.28.1:23234/rtp/225.1.8.181:4222
﻿北京频道,#genre#
北京卫视,http://192.168.28.1:23234/rtp/225.1.8.21:8002
北京文艺,http://192.168.28.1:23234/rtp/225.1.8.22:8002
纪实科教,http://192.168.28.1:23234/rtp/225.1.8.105:8002
北京影视,http://192.168.28.1:23234/rtp/225.1.8.82:8000
北京财经,http://192.168.28.1:23234/rtp/225.1.8.106:8002
体育休闲,http://192.168.28.1:23234/rtp/225.1.8.23:8002
北京生活,http://192.168.28.1:23234/rtp/225.1.8.108:8002
北京新闻,http://192.168.28.1:23234/rtp/225.1.8.83:8000
卡酷少儿,http://192.168.28.1:23234/rtp/225.1.8.35:8000
北京国际,http://192.168.28.1:23234/rtp/225.1.8.131:8002
朝阳融媒,http://192.168.28.1:23234/rtp/225.1.8.69:8002
通州融媒,http://192.168.28.1:23234/rtp/225.1.8.119:8002
房山电视台,http://192.168.28.1:23234/rtp/225.1.8.68:8002
延庆电视台,http://192.168.28.1:23234/rtp/225.1.8.196:8002
密云电视台,http://192.168.28.1:23234/rtp/225.1.8.75:8002
﻿卫视频道,#genre#
湖南卫视,http://192.168.28.1:23234/rtp/225.1.8.41:8012
江苏卫视,http://192.168.28.1:23234/rtp/225.1.8.44:8028
东方卫视,http://192.168.28.1:23234/rtp/225.1.8.45:8032
浙江卫视,http://192.168.28.1:23234/rtp/225.1.8.46:8036
湖北卫视,http://192.168.28.1:23234/rtp/225.1.8.47:8044
