央视频道,#genre#
CCTV1,http://192.168.28.1:23234/rtp/228.1.1.28:8008
CCTV2,http://192.168.28.1:23234/rtp/228.1.1.24:8084
CCTV3,http://192.168.28.1:23234/rtp/228.1.1.191:8002
CCTV4,http://192.168.28.1:23234/rtp/228.1.1.25:8092
CCTV5,http://192.168.28.1:23234/rtp/228.1.1.192:8002
CCTV6,http://192.168.28.1:23234/rtp/228.1.1.193:8002
CCTV7,http://192.168.28.1:23234/rtp/228.1.1.26:8104
CCTV8,http://192.168.28.1:23234/rtp/228.1.1.194:8002
CCTV9,http://192.168.28.1:23234/rtp/228.1.1.27:8112
CCTV10,http://192.168.28.1:23234/rtp/228.1.1.29:8116
CCTV11,http://192.168.28.1:23234/rtp/228.1.1.182:8120
CCTV12,http://192.168.28.1:23234/rtp/228.1.1.30:8124
CCTV13,http://192.168.28.1:23234/rtp/228.1.1.212:8128
CCTV14,http://192.168.28.1:23234/rtp/228.1.1.31:8132
CCTV15,http://192.168.28.1:23234/rtp/228.1.1.183:8136
CCTV16,http://192.168.28.1:23234/rtp/228.1.1.215:8002
CCTV17,http://192.168.28.1:23234/rtp/228.1.1.181:8144
CCTV5+,http://192.168.28.1:23234/rtp/228.1.1.23:8004
CCTV4K,http://192.168.28.1:23234/rtp/228.1.1.123:8001
CCTV4欧洲,http://192.168.28.1:23234/rtp/228.1.1.213:4220
CCTV4美洲,http://192.168.28.1:23234/rtp/228.1.1.203:4220
CGTN,http://192.168.28.1:23234/rtp/228.1.1.204:4220
CGTN纪录,http://192.168.28.1:23234/rtp/228.1.1.205:4220
CGTN西语,http://192.168.28.1:23234/rtp/228.1.1.206:4220
CGTN法语,http://192.168.28.1:23234/rtp/228.1.1.207:4220
CGTN阿语,http://192.168.28.1:23234/rtp/228.1.1.208:4220
CGTN俄语,http://192.168.28.1:23234/rtp/228.1.1.209:4220
北京频道,#genre#
北京卫视,http://192.168.28.1:23234/rtp/228.1.1.115:8000
北京文艺,http://192.168.28.1:23234/rtp/228.1.1.116:8000
纪实科教,http://192.168.28.1:23234/rtp/228.1.1.196:8000
北京影视,http://192.168.28.1:23234/rtp/228.1.1.190:8000
北京财经,http://192.168.28.1:23234/rtp/228.1.1.197:8000
体育休闲,http://192.168.28.1:23234/rtp/228.1.1.117:8000
北京生活,http://192.168.28.1:23234/rtp/228.1.1.198:8000
北京新闻,http://192.168.28.1:23234/rtp/228.1.1.189:8000
卡酷少儿,http://192.168.28.1:23234/rtp/228.1.1.195:8000
北京国际,http://192.168.28.1:23234/rtp/228.1.1.111:8000
朝阳融媒,http://192.168.28.1:23234/rtp/228.1.1.140:8001
通州融媒,http://192.168.28.1:23234/rtp/228.1.1.217:8002
房山电视台,http://192.168.28.1:23234/rtp/228.1.1.139:8001
延庆电视台,http://192.168.28.1:23234/rtp/228.1.1.219:8002
密云电视台,http://192.168.28.1:23234/rtp/228.1.1.115:8000
卫视频道,#genre#
湖南卫视,http://192.168.28.1:23234/rtp/228.1.1.33:8012
江苏卫视,http://192.168.28.1:23234/rtp/228.1.1.37:8028
东方卫视,http://192.168.28.1:23234/rtp/228.1.1.39:8032
浙江卫视,http://192.168.28.1:23234/rtp/228.1.1.13:8036
湖北卫视,http://192.168.28.1:23234/rtp/228.1.1.16:8044
天津卫视,http://192.168.28.1:23234/rtp/228.1.1.15:1234
山东卫视,http://192.168.28.1:23234/rtp/228.1.1.18:8052
辽宁卫视,http://192.168.28.1:23234/rtp/228.1.1.19:8056
安徽卫视,http://192.168.28.1:23234/rtp/228.1.1.21:8064
黑龙江卫视,http://192.168.28.1:23234/rtp/228.1.1.35:8016
贵州卫视,http://192.168.28.1:23234/rtp/228.1.1.188:8076
东南卫视,http://192.168.28.1:23234/rtp/228.1.1.185:8148
重庆卫视,http://192.168.28.1:23234/rtp/228.1.1.210:8160
江西卫视,http://192.168.28.1:23234/rtp/228.1.1.211:8164
广东卫视,http://192.168.28.1:23234/rtp/228.1.1.17:8048
河北卫视,http://192.168.28.1:23234/rtp/228.1.1.187:8072
深圳卫视,http://192.168.28.1:23234/rtp/228.1.1.36:8020
吉林卫视,http://192.168.28.1:23234/rtp/228.1.1.214:8172
河南卫视,http://192.168.28.1:23234/rtp/228.1.1.50:8128
四川卫视,http://192.168.28.1:23234/rtp/228.1.1.77:8288
广西卫视,http://192.168.28.1:23234/rtp/228.1.1.80:8300
陕西卫视,http://192.168.28.1:23234/rtp/228.1.1.53:8140
山西卫视,http://192.168.28.1:23234/rtp/228.1.1.58:8172
内蒙古卫视,http://192.168.28.1:23234/rtp/228.1.1.59:8176
青海卫视,http://192.168.28.1:23234/rtp/228.1.1.60:8184
海南卫视,http://192.168.28.1:23234/rtp/228.1.1.81:8304
宁夏卫视,http://192.168.28.1:23234/rtp/228.1.1.49:8124
西藏卫视,http://192.168.28.1:23234/rtp/228.1.1.57:8164
新疆卫视,http://192.168.28.1:23234/rtp/228.1.1.56:8160
甘肃卫视,http://192.168.28.1:23234/rtp/228.1.1.61:8188
三沙卫视,http://192.168.28.1:23234/rtp/228.1.1.186:4120
云南卫视,http://192.168.28.1:23234/rtp/228.1.1.44:8108
财富天下,http://192.168.28.1:23234/rtp/228.1.1.90:9136
厦门卫视,http://192.168.28.1:23234/rtp/228.1.1.176:4120
兵团卫视,http://192.168.28.1:23234/rtp/228.1.1.177:4120
大湾区卫视,http://192.168.28.1:23234/rtp/228.1.1.142:8002
纪实人文,http://192.168.28.1:23234/rtp/228.1.1.20:8060
金鹰纪实,http://192.168.28.1:23234/rtp/228.1.1.34:8156
金鹰卡通,http://192.168.28.1:23234/rtp/228.1.1.92:9252
嘉佳卡通,http://192.168.28.1:23234/rtp/228.1.1.93:9268
中国交通,http://192.168.28.1:23234/rtp/228.1.1.222:8002
CETV1,http://192.168.28.1:23234/rtp/228.1.1.32:8152
CETV2,http://192.168.28.1:23234/rtp/228.1.1.97:4120
CETV3,http://192.168.28.1:23234/rtp/228.1.1.98:4120
CETV4,http://192.168.28.1:23234/rtp/228.1.1.99:4120
山东教育,http://192.168.28.1:23234/rtp/228.1.1.96:4120
体验频道,#genre#
爱上4K,http://192.168.28.1:23234/rtp/228.1.1.38:2000
4K超清,http://192.168.28.1:23234/rtp/228.1.1.123:8001
睛彩竞技,http://192.168.28.1:23234/rtp/228.1.1.223:8002
睛彩篮球,http://192.168.28.1:23234/rtp/228.1.1.224:8002
睛彩羽毛球,http://192.168.28.1:23234/rtp/228.1.1.225:8002
睛彩广场舞,http://192.168.28.1:23234/rtp/228.1.1.226:8002
快乐垂钓,http://192.168.28.1:23234/rtp/228.1.1.144:8002
茶频道,http://192.168.28.1:23234/rtp/228.1.1.145:8002
淘精彩,http://192.168.28.1:23234/rtp/228.1.1.202:8002
淘Baby,http://192.168.28.1:23234/rtp/228.1.1.128:8001
淘剧场,http://192.168.28.1:23234/rtp/228.1.1.126:8001
淘电影,http://192.168.28.1:23234/rtp/228.1.1.124:8001
萌宠TV,http://192.168.28.1:23234/rtp/228.1.1.135:8002
热播剧场,http://192.168.28.1:23234/rtp/228.1.1.88:9020
经典电影,http://192.168.28.1:23234/rtp/228.1.1.89:9024
城市剧场,http://192.168.28.1:23234/rtp/228.1.1.148:4120
军旅剧场,http://192.168.28.1:23234/rtp/228.1.1.149:4120
古装剧场,http://192.168.28.1:23234/rtp/228.1.1.150:4120
武侠剧场,http://192.168.28.1:23234/rtp/228.1.1.171:4120
喜剧影院,http://192.168.28.1:23234/rtp/228.1.1.172:4120
动作影院,http://192.168.28.1:23234/rtp/228.1.1.173:4120
家庭影院,http://192.168.28.1:23234/rtp/228.1.1.174:4120
魅力时尚,http://192.168.28.1:23234/rtp/228.1.1.86:9012
少儿动画,http://192.168.28.1:23234/rtp/228.1.1.83:9000
音乐现场,http://192.168.28.1:23234/rtp/228.1.1.151:4120
星影,http://192.168.28.1:23234/rtp/228.1.1.175:4120
地理,http://192.168.28.1:23234/rtp/228.1.1.152:4120
美妆,http://192.168.28.1:23234/rtp/228.1.1.153:4120
美人,http://192.168.28.1:23234/rtp/228.1.1.154:4120
精选,http://192.168.28.1:23234/rtp/228.1.1.155:4120
解密,http://192.168.28.1:23234/rtp/228.1.1.156:4120
军事,http://192.168.28.1:23234/rtp/228.1.1.157:4120
国学,http://192.168.28.1:23234/rtp/228.1.1.158:4120
戏曲,http://192.168.28.1:23234/rtp/228.1.1.159:4120
早教,http://192.168.28.1:23234/rtp/228.1.1.160:4120
动画,http://192.168.28.1:23234/rtp/228.1.1.161:4120
好学生,http://192.168.28.1:23234/rtp/228.1.1.162:4120
鉴赏,http://192.168.28.1:23234/rtp/228.1.1.163:4120
墨宝,http://192.168.28.1:23234/rtp/228.1.1.164:4120
光影,http://192.168.28.1:23234/rtp/228.1.1.165:4120
台球,http://192.168.28.1:23234/rtp/228.1.1.166:4120
爱生活,http://192.168.28.1:23234/rtp/228.1.1.167:4120
武术,http://192.168.28.1:23234/rtp/228.1.1.168:4120
高网,http://192.168.28.1:23234/rtp/228.1.1.169:4120
足球,http://192.168.28.1:23234/rtp/228.1.1.170:4120
文化北京,http://192.168.28.1:23234/rtp/228.1.1.115:8000
体育赛事,http://192.168.28.1:23234/rtp/228.1.1.23:8004
熊猫频道,http://192.168.28.1:23234/rtp/228.1.1.28:8008
百视通,http://192.168.28.1:23234/rtp/228.1.1.212:8128
收视指南,http://192.168.28.1:23234/rtp/228.1.1.28:8008
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
真4K,http://[2409:8087:2001:20:2800:0:df6e:eb14]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
纯享4K,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/ott.mobaibox.com/PLTV/4/224/3221228242/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
纪实科教8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
